code,name,defaultArticle.color.text,images
1074402_group_004,Slim Fit Cotton Twill Pants,Khaki green,https://image.hm.com/assets/hm/d8/04/d804da211fd59765ed477a77f676c79f9f4863c8.jpg
0878987_group_018,Regular Fit Shorts,Light beige,https://image.hm.com/assets/hm/ef/41/ef417c3d6e4642a38728ecca0e21a106b7c75fcd.jpg
0878987_group_031,Regular Fit Shorts,Light brown,https://image.hm.com/assets/hm/59/65/59650c9d3ff229a07dfac09bc031ddb74395d5a4.jpg
0783354_group_025,Slim Fit Linen Jacket,Light gray,https://image.hm.com/assets/hm/64/d6/64d63b54e4926d605dd9a861d848c489853e3bac.jpg
0929428_group_004,Regular Fit Suit Pants,Navy blue,https://image.hm.com/assets/hm/b3/51/b35196cf3e5426f686250fcd9359ee151d1232c0.jpg
0929432_group_001,Regular Fit Jacket,Dark blue,https://image.hm.com/assets/hm/9d/69/9d6939a53f3597ac46de19bf2c7b1445e757e7a0.jpg
0713995_group_058,Skinny Fit Jacket,Navy blue,https://image.hm.com/assets/hm/f3/fc/f3fc334f4bc1defdae0bf4df15909e94cfda22f6.jpg
1026351_group_001,Slim Fit Cotton Turtleneck Shirt,Black,https://image.hm.com/assets/hm/89/83/898396242549d47ec8c92fa2891cf68d2768b51d.jpg
0715828_group_013,Slim Fit Fine-knit Turtleneck Sweater,Black,https://image.hm.com/assets/hm/56/37/56377ee4d2d3d860f5bf1cb946e4108f013e7e30.jpg
0943982_group_001,Slim Fit Jersey Suit Pants,Gray,https://image.hm.com/assets/hm/40/8b/408b6e788f71b4cdadf1a824af0cb3c9d19a4523.jpg
0878987_group_015,Regular Fit Shorts,Black,https://image.hm.com/assets/hm/8e/6b/8e6b833a4e103263988e3339aa822d026efb2bbd.jpg
0943929_group_001,Slim Fit Jersey Jacket,Gray,https://image.hm.com/assets/hm/a9/66/a9666ee236f736bbb43560cb9fc6f9ee6ccc1624.jpg
0839915_group_033,Slim Fit Suit Vest,Navy blue,https://image.hm.com/assets/hm/de/3f/de3f7352170b4217ed1bc835f4c8713ae5a2bbeb.jpg
1074402_group_006,Slim Fit Cotton Twill Pants,Beige,https://image.hm.com/assets/hm/d9/b0/d9b0ef8759858d08b00213d50b2cf3d07ad51a0b.jpg
0839915_group_029,Slim Fit Suit Vest,Dark blue,https://image.hm.com/assets/hm/75/ae/75ae80947af8a89f7897626231ce3c31a6f35b79.jpg
1054019_group_008,Regular Fit Linen-blend Shorts,White/beige striped,https://image.hm.com/assets/hm/57/71/5771ff8f0f51ae8e15ab08b46901049986713721.jpg
0761501_group_006,Slim Fit Linen Suit Pants,Light beige melange,https://image.hm.com/assets/hm/d0/cd/d0cd7bbb329746e75171bc8926753dbfc28caff7.jpg
1070934_group_011,Regular Fit Printed Hoodie,Light beige,https://image.hm.com/assets/hm/fc/ba/fcbaab7baa1ca08072c7dba0241f1147ef44006f.jpg
0878987_group_033,Regular Fit Shorts,Light gray,https://image.hm.com/assets/hm/90/24/9024764f6d64508f476747833d5a045540f075ac.jpg
0395127_group_042,Slim Fit Premium Cotton Shirt,Light blue,https://image.hm.com/assets/hm/05/b1/05b1c039065453aadca0b5dd7c626f7b3eb8b90a.jpg
1074406_group_015,Slim Fit Pants,Gray/plaid,https://image.hm.com/assets/hm/e2/21/e2218e114bdaf6547a90d0de8c7c906e6e269a6c.jpg
0713986_group_066,Slim Fit Jacket,Dark blue,https://image.hm.com/assets/hm/09/93/0993562ac047912af8dee1896c4b3ce763a52b50.jpg
0713986_group_070,Slim Fit Jacket,Navy blue,https://image.hm.com/assets/hm/8b/5e/8b5e00888cb7c958bd6f73ea5e4538d72b40b1b9.jpg
0713986_group_071,Slim Fit Jacket,Light beige,https://image.hm.com/assets/hm/73/19/7319e44ee8a8373d86e6d74728864058cec0c6ca.jpg
0878987_group_032,Regular Fit Shorts,White,https://image.hm.com/assets/hm/6d/5e/6d5e3b8b4e8599ddc1e4964384170f96bc2af7e4.jpg
1074406_group_025,Slim Fit Pants,Dark gray melange,https://image.hm.com/assets/hm/0c/99/0c99ed6af46d042416de68a2bdd8c9b5fcbeeaec.jpg
1074402_group_008,Slim Fit Cotton Twill Pants,Light gray,https://image.hm.com/assets/hm/ee/be/eebe9270965f6d47cf875961ce6a73764393d5f5.jpg
1070927_group_014,Relaxed Fit Appliquéd Sweatshirt,Black,https://image.hm.com/assets/hm/6a/e3/6ae30bd335b85b1262b56bd2d2e9d53ca5547e1c.jpg
1037275_group_001,Regular Fit Jersey Shirt,Black/white striped,https://image.hm.com/assets/hm/82/6f/826f95bf1ff3847146cb7cccf7e821128e23495c.jpg
1035679_group_019,Regular Fit Linen Pants,Dark beige,https://image.hm.com/assets/hm/02/a7/02a7febc05501753af11b271b0e14416fadeed75.jpg
0827280_group_031,Regular Fit Flannel Shirt,Green/checked,https://image.hm.com/assets/hm/94/22/94227b8a14b20d8a7dd415f79afe1f250324de02.jpg
0564358_group_012,Slim Fit Fine-knit Cotton Sweater,Black,https://image.hm.com/assets/hm/d4/3b/d43bfbf8b303a7ca2cb2b6bf60a5c52a11c9e419.jpg
0501620_group_081,Regular Fit Cotton Shirt,Light blue/floral,https://image.hm.com/assets/hm/ec/d1/ecd17c17827f2f4810d7b0b6e688dcd2d43ba696.jpg
1035679_group_010,Regular Fit Linen Pants,Light beige,https://image.hm.com/assets/hm/0e/3f/0e3f717025063d40d8453cc6e68a8708ab18ca27.jpg
0841808_group_004,Slim Fit Shirt,Light blue,https://image.hm.com/assets/hm/ae/2a/ae2afd25d85042b056cbbf25e9cfe2b5c2ec63c5.jpg
0395127_group_053,Slim Fit Premium Cotton Shirt,Black,https://image.hm.com/assets/hm/02/00/0200582a2c0214d7ce46a128a0c31d5eea27ac2a.jpg
0715828_group_011,Slim Fit Fine-knit Turtleneck Sweater,White,https://image.hm.com/assets/hm/2c/7c/2c7cfddfaa2e0a610000c3d5969af0568b204a86.jpg
1092778_group_001,Loose Fit Flared Pants,Black,https://image.hm.com/assets/hm/40/cf/40cf664886ab4eed21c5d7894f58a85682f57c18.jpg
0501620_group_102,Regular Fit Cotton Shirt,Red/leaf-patterned,https://image.hm.com/assets/hm/31/2d/312d0d6cdb65377ad359b05cd471e24f11256d67.jpg
0564358_group_107,Slim Fit Fine-knit Cotton Sweater,Cream,https://image.hm.com/assets/hm/9b/a3/9ba384a6427231a10387edc3729c47590a07ae88.jpg
0713986_group_050,Slim Fit Jacket,Blue,https://image.hm.com/assets/hm/a5/3f/a53fb17a061f7a4850d6e54494c1dbf421090fbe.jpg
1070524_group_001,Slim Fit Fine-knit Mock Turtleneck Sweater,Black,https://image.hm.com/assets/hm/36/d2/36d2fb24d55a236da2c8c71bb574db90e7ed0590.jpg
0714026_group_050,Slim Fit Suit Pants,Dark blue,https://image.hm.com/assets/hm/a4/32/a43255f60a4afe35803978e791b009f025e6de44.jpg
0875217_group_043,Overshirt,Black/plaid,https://image.hm.com/assets/hm/7e/dd/7eddd2915739c10b4ec1b19e940dc03075058283.jpg
1113002_group_001,Slim Fit Pants,Black,https://image.hm.com/assets/hm/29/10/2910bed6cb81e72bab9777924b956ef00e303a8b.jpg
0713995_group_045,Skinny Fit Jacket,Gray/plaid,https://image.hm.com/assets/hm/39/f0/39f053c1df9bff06e66d79e3a972198f7ad5c86d.jpg
1070934_group_013,Regular Fit Printed Hoodie,Dark gray/Universal Mysteries,https://image.hm.com/assets/hm/97/7c/977cc9b0e6b5772d2eee28d1dc2643980061e0e7.jpg
0714026_group_052,Slim Fit Suit Pants,Dark gray,https://image.hm.com/assets/hm/9e/23/9e23b124ab9b2c6ce8cb932ba871f240b0f4a5ef.jpg
0827280_group_023,Regular Fit Flannel Shirt,Light beige/plaid,https://image.hm.com/assets/hm/bf/f9/bff9b2ff07cb6541b2dcc6d74d6bd4c82a3145b2.jpg
0501620_group_093,Regular Fit Cotton Shirt,Khaki green/leaf-patterned,https://image.hm.com/assets/hm/1f/4f/1f4febd91fbec347d96a4c8d4b269678dbb7c343.jpg
0875217_group_048,Overshirt,Dark red/plaid,https://image.hm.com/assets/hm/ff/13/ff134ad79ffbd0155eddf1b3925fc3e2b7fc96f4.jpg
0810710_group_004,Muscle Fit Turtleneck Sweater,Black,https://image.hm.com/assets/hm/8c/5d/8c5d1c8c0d79b5181e9f2f5dd3a878bf61f7cb36.jpg
1089881_group_001,Regular Fit Turtleneck Sweater,Black,https://image.hm.com/assets/hm/ce/e1/cee10cd870db1419bc39b38c01a5f1847913e843.jpg
1070934_group_014,Regular Fit Printed Hoodie,Dark blue,https://image.hm.com/assets/hm/a4/33/a433494ac997a434881d34cdf4cc1f54cddb8c03.jpg
1071258_group_003,Cotton Cardigan,Light gray melange,https://image.hm.com/assets/hm/0e/dc/0edc63b8c1b7fa5101021581b22719f098a8009a.jpg
0810710_group_023,Muscle Fit Turtleneck Sweater,White,https://image.hm.com/assets/hm/b7/97/b797ef4f19ee02ab89d96e4b413b04747bd51108.jpg
0761501_group_019,Slim Fit Linen Suit Pants,Beige,https://image.hm.com/assets/hm/4a/fd/4afdd1abc05869063fb1cea04e59cb94dd311e98.jpg
0715828_group_074,Slim Fit Fine-knit Turtleneck Sweater,Brown,https://image.hm.com/assets/hm/0a/01/0a0120563a64158289de28e282b93bfb93ec2dcd.jpg
0827280_group_032,Regular Fit Flannel Shirt,Beige,https://image.hm.com/assets/hm/a5/2a/a52a08274687282ae751d61e0c7d2dc90a79c999.jpg
0715828_group_061,Slim Fit Fine-knit Turtleneck Sweater,Gray melange,https://image.hm.com/assets/hm/2f/cd/2fcd1d46dae4423ba067ca1491d2a20edd1b0a99.jpg
0827280_group_020,Regular Fit Flannel Shirt,Gray/plaid,https://image.hm.com/assets/hm/fc/24/fc244e92cc1a10c669a053800362d37a4c57604a.jpg
0827280_group_033,Regular Fit Flannel Shirt,Dark blue,https://image.hm.com/assets/hm/16/38/16381c4b2d4ac93656893596c521944e4f274512.jpg
0715828_group_059,Slim Fit Fine-knit Turtleneck Sweater,Taupe,https://image.hm.com/assets/hm/5a/f0/5af023c621244c79271da10e230ed19917fcd8ec.jpg
1046040_group_017,Relaxed Fit Cotton T-shirt,Dark brown/striped,https://image.hm.com/assets/hm/b5/f5/b5f5c4d1be6a3126e466fd4cac80d2bc8db84ac7.jpg
0714032_group_024,Skinny Fit Suit Pants,Gray,https://image.hm.com/assets/hm/89/a5/89a5f31b9673f5cabc8cae9cf4c429153f8ced9f.jpg
1070927_group_019,Relaxed Fit Appliquéd Sweatshirt,Cream,https://image.hm.com/assets/hm/10/92/1092bff94a0fbb3afe781b29bd422d38bb98c117.jpg
0713995_group_028,Skinny Fit Jacket,Gray,https://image.hm.com/assets/hm/27/ab/27ab6f0afb8328ec97a6ee6822db4d8b4293f827.jpg
0782479_group_019,Muscle Fit Knit Sweater,White,https://image.hm.com/assets/hm/f6/46/f6469ea0ce4c92b2766bc83a86604019be602895.jpg
0827280_group_029,Regular Fit Flannel Shirt,Light pink,https://image.hm.com/assets/hm/38/5c/385c48981f184841dc4d653832b66771a05969db.jpg
0827280_group_024,Regular Fit Flannel Shirt,Gray,https://image.hm.com/assets/hm/e2/28/e228ebf43f063692fda63ae477ef30ee18b66c16.jpg
1070934_group_012,Regular Fit Printed Hoodie,Dark red,https://image.hm.com/assets/hm/d7/e4/d7e4c46a0737f0cd126f4f714b4d2059ac10790c.jpg
1005941_group_011,Slim Fit Sweater,Dark beige,https://image.hm.com/assets/hm/35/68/3568c257a5d57c2318e35ead22d226e6a5362af4.jpg
1005941_group_012,Slim Fit Sweater,Dark blue/striped,https://image.hm.com/assets/hm/c7/59/c759687a499bebfbc8776c52de6da1f9f38fff1f.jpg
1070927_group_012,Relaxed Fit Appliquéd Sweatshirt,Cream,https://image.hm.com/assets/hm/4e/59/4e59a0b115fd3abb80587f876508fccd91ce6af4.jpg
1054019_group_001,Regular Fit Linen-blend Shorts,White/black striped,https://image.hm.com/assets/hm/1a/0d/1a0d92ec22f3a9d705470fffcc29a41cc376544b.jpg
0714026_group_054,Slim Fit Suit Pants,Beige/checked,https://image.hm.com/assets/hm/50/b0/50b0d283dba13334af91d11ec9de1f2f9c6766c5.jpg
1021446_group_004,2-pack Slim Fit Turtlenecks,Black/light khaki green,https://image.hm.com/assets/hm/af/28/af28cb0c92ef2867d69919d5b831c27b935771da.jpg
1054019_group_005,Regular Fit Linen-blend Shorts,Light beige,https://image.hm.com/assets/hm/3c/13/3c131a8e73a962e3197b5497d641618816f98d3b.jpg
1064816_group_006,Regular Fit Cotton T-shirt,White/palm trees,https://image.hm.com/assets/hm/d3/a9/d3a9ad52dffdbebcd6cb4d3bbe738ecfa925ebfe.jpg
1005941_group_001,Slim Fit Sweater,Black,https://image.hm.com/assets/hm/c2/49/c24928ba921b1b4842a31d108bb44bd04697f6fd.jpg
1089881_group_002,Regular Fit Turtleneck Sweater,Light beige,https://image.hm.com/assets/hm/71/e3/71e3e07dd6a8587e8c06a4abebacc94c1805eb28.jpg
0564358_group_086,Slim Fit Fine-knit Cotton Sweater,Light beige,https://image.hm.com/assets/hm/37/d8/37d8186683f2dc9b89ffde6ee967de9cbb7b3f4c.jpg
0867466_group_001,Straight Fit Suit Pants,Black,https://image.hm.com/assets/hm/d4/8b/d48b18755497df813b317ac3ff71d91141b5840f.jpg
1036750_group_015,Relaxed Fit Short-sleeved Cotton Shirt,Black/bugs,https://image.hm.com/assets/hm/20/67/20671e770c50b4df70568e1b1dc4fbcaa3187acb.jpg
1054019_group_012,Regular Fit Linen-blend Shorts,Orange/white striped,https://image.hm.com/assets/hm/7e/06/7e06bcf4ec9760c6898a73332121c41f69af6448.jpg
1074406_group_029,Slim Fit Pants,Beige,https://image.hm.com/assets/hm/aa/dd/aadd3f9a6cbe1e5be29c57a607793d292596393a.jpg
0934398_group_017,Relaxed Fit Overshirt,Gray/light blue,https://image.hm.com/assets/hm/c2/03/c203895cddb0ea0c2d2496e747afed37936209a9.jpg
0782479_group_020,Muscle Fit Knit Sweater,Dark gray,https://image.hm.com/assets/hm/ec/49/ec497d0ba9a0ed867d6d0dc078282c7c9fdfda81.jpg
1099571_group_001,Regular Fit Oxford Shirt,White,https://image.hm.com/assets/hm/93/ff/93fffb4395f38162eba41373be3b6066b29fe506.jpg
0875217_group_052,Overshirt,Black/white checked,https://image.hm.com/assets/hm/e6/d6/e6d6388d994983e4ee4e515bbe861c73005081f6.jpg
0395127_group_048,Slim Fit Premium Cotton Shirt,Dark blue,https://image.hm.com/assets/hm/9a/3c/9a3c955ecf7141384cee7c971a4a82193306c840.jpg
0958242_group_006,Skinny Fit Twill Pants,Dark blue/green plaid,https://image.hm.com/assets/hm/d7/03/d70302c3c5204a9d1b44028c529df3ad3c14c8e4.jpg
0564358_group_080,Slim Fit Fine-knit Cotton Sweater,Dark beige melange,https://image.hm.com/assets/hm/6e/78/6e7843a8fa7305d9c7e88fe6a92fe91e321cdb94.jpg
1021446_group_003,2-pack Slim Fit Turtlenecks,White/black,https://image.hm.com/assets/hm/bb/c6/bbc68274a6fddb8d552dd446bdfea981179a4ca6.jpg
0564358_group_088,Slim Fit Fine-knit Cotton Sweater,Light gray melange,https://image.hm.com/assets/hm/d1/30/d1309378ed14a971280bfbd28541064662e56431.jpg
1005941_group_006,Slim Fit Sweater,Dark khaki green,https://image.hm.com/assets/hm/52/6f/526fe1e208e5fd4b89c5c47e36c084ef42745ab4.jpg
0392938_group_001,Slim Fit Stretch Shirt,White,https://image.hm.com/assets/hm/48/32/48329f8776c989a8c67dabd5517640a96c96311a.jpg
0782479_group_005,Muscle Fit Knit Sweater,Black,https://image.hm.com/assets/hm/c4/e7/c4e7a33b9aa2ccb87f7fb91e8195867f3a83b05c.jpg
0981640_group_005,Regular Fit Cotton Shirt,Black,https://image.hm.com/assets/hm/e4/8c/e48c96b3a3c426f5e774d7ade59755e63c476ff4.jpg
0564358_group_105,Slim Fit Fine-knit Cotton Sweater,Light blue,https://image.hm.com/assets/hm/db/05/db05b7ff27826bff61f5a0ea2ce096213473a97d.jpg
1070927_group_018,Relaxed Fit Appliquéd Sweatshirt,Black,https://image.hm.com/assets/hm/ca/d2/cad20940729fa245d537291fc4a52166166da311.jpg
1060521_group_003,Slim Fit Cotton Joggers,Turquoise,https://image.hm.com/assets/hm/36/28/3628db8452ee77c0b107a5810be47228fcd13391.jpg
1005941_group_013,Slim Fit Sweater,White/striped,https://image.hm.com/assets/hm/56/fe/56fe7733cbbc35c25ef6b48c069527168f50bfe1.jpg
0982023_group_002,Regular Fit Unconstructed Jacket,Dark gray/patterned,https://image.hm.com/assets/hm/ad/95/ad956e2e31e7cc28e3070530734f03cd479a8ddc.jpg
1100436_group_003,Regular Fit Cotton Chinos,Beige,https://image.hm.com/assets/hm/ab/26/ab264d8f49d69924c0c30428b5706fc234dcb5f1.jpg
0841808_group_010,Slim Fit Shirt,Light blue/striped,https://image.hm.com/assets/hm/89/a2/89a2f60ea6968f2ffd6189070eea76579521e30d.jpg
