id,name,description,imageUrl,keywordDescriptions
31,Slim Fit Pima Cotton T-shirt,White,https://image.hm.com/assets/hm/35/f7/35f73f439f9414faa189d4de0e6506ad21ac7a36.jpg,"a white t-shirt on a white background, a white shirt on a swinger"
32,Regular Fit Linen-blend Shirt,Navy blue,https://image.hm.com/assets/hm/b6/bf/b6bf8366765203bab5f076fe27d5ec71b1c77e6f.jpg,a close-up of a button on a shirt
33,Slim Fit Pima Cotton T-shirt,Black,https://image.hm.com/assets/hm/c3/74/c37415154f2d7e6fdd5f305e120bfc96ff3e6299.jpg,"a black shirt on a swinger, a black shirt on a white background"
34,Relaxed Fit Piqué Polo Shirt,Black,https://image.hm.com/assets/hm/33/d9/33d90e1a477bd56cd9495cf0553399fad3621cdb.jpg,"a black polo shirt on a white background, a black polo shirt on a swinger"
35,Regular Fit Chino Shorts,Beige,https://image.hm.com/assets/hm/f6/77/f677a6aab0df3447d0d6f6ab3146b1a78a7b5048.jpg,a close up of a pair of pants
36,Cargo Joggers,Khaki green,https://image.hm.com/assets/hm/2d/8a/2d8a0ff67d37c3916b74961f71746d57b8447ca2.jpg,"a pair of green cargo pants, a close-up of a zipper, a close-up of a pocket"
37,Loose Jeans,Light denim blue,https://image.hm.com/assets/hm/ff/45/ff45c93ccbe1baa8d99a3af3a417fb107ceae6d7.jpg,"a pair of light blue jeans, a close up of a pocket"
38,Baggy Jeans,Light denim blue,https://image.hm.com/assets/hm/9d/ab/9dabe220ab271eeb3840823fb662871526612ba1.jpg,"a pair of light blue jeans, a close-up of a white cloth, a close-up of a button on a jean, close up of a pair of jeans, close up of a pocket on a pair of jeans, a close up of a pocket"
39,Regular Fit Knit T-shirt,Black,https://image.hm.com/assets/hm/65/cf/65cf6ea175b83478c5e5767b1cf142fd668b0c0c.jpg,"a black shirt on a white background, a black shirt on a swinger, a close up of a black sweater"
40,Wide Jeans,Black,https://image.hm.com/assets/hm/92/7a/927a8d01195f4e3fcfa0841fc2e0cf0715d1589e.jpg,a close up of a pair of black pants
41,Loose Fit Pleated Shirt,Black,https://image.hm.com/assets/hm/51/be/51be21ddee4f86cd290c21156c8b99b07b2eb31c.jpg,"a black shirt on a white background, a black shirt on a swinger, a close up of a black shirt, a close up of a black shirt"
42,Regular Fit Pointelle-knit Shirt,Navy blue,https://image.hm.com/assets/hm/45/55/45559800cfe96aa0df1fa57e466cedae2ae56686.jpg,"a black shirt on a white background, a black shirt on a swinger, a close up of a sweater"
43,Relaxed Fit Linen Resort Shirt,Navy blue,https://image.hm.com/assets/hm/69/4f/694f8ebe5ce6d7a95b201138153094c18b557b81.jpg,"a black shirt on a white background, a black shirt on a swinger, a close up of a black shirt"
44,Relaxed Fit Cotton Cargo Joggers,Black,https://image.hm.com/assets/hm/ec/b1/ecb1be54228c1d9961bf710bafc2f0d8accd462a.jpg,"a pair of black pants, a pair of black pants"
45,Muscle Fit Polo shirt,Black,https://image.hm.com/assets/hm/a0/e7/a0e74fe07fd8cb24d0aa3366705ae7cef59ff967.jpg,"a black shirt with a zipper, a black shirt with a zipper, a black shirt with a zipper, a close up of a black sweater"
46,Relaxed Fit Linen Resort Shirt,White,https://image.hm.com/assets/hm/03/9a/039addc0e58248b1a31cb0ba6f1d4601c0a54d43.jpg,"a white shirt on a white background, a white shirt on a swinger, a close up of a white shirt, a close up of a white shirt, a close up of a white shirt, a close-up of a button on a white shirt"
47,Muscle Fit Band-collar Shirt,White,https://image.hm.com/assets/hm/f9/2b/f92b87f6a4658d7a7783c26b368dadd738f89a03.jpg,"a white shirt on a white background, a white shirt on a swinger, close-up of a white shirt"
48,Swim Shorts,Sage green,https://image.hm.com/assets/hm/2a/9a/2a9ac7bf14feb173fc7726cdf7acb7a0a016737d.jpg,"a close up of a pair of shorts, a pair of shorts on a white background, a close up of a pair of shorts, a close up of a pair of shorts, a close up of a pair of shorts"
49,Relaxed Fit Piqué Polo Shirt,Light blue,https://image.hm.com/assets/hm/0f/06/0f0629f5ea99904ee08a203b01ba79dc9ac084ad.jpg,"a light blue polo shirt, a light blue polo shirt, a close up of a polo shirt"
50,Straight Regular Jeans,Black,https://image.hm.com/assets/hm/98/95/9895bda40e87ba0de3bbc035c673f9215d2258eb.jpg,"a pair of black jeans, a pair of black pants"
51,Slim Fit Linen Suit Pants,Dark beige,https://image.hm.com/assets/hm/eb/28/eb28c996f3b65e20bdf182e2d082016e61aa469c.jpg,"a brown pants on a white wall, a brown pants on a white wall, a white background with black and red lines, a close up of a brown pants, a brown pants on a white wall"
52,Regular Fit Linen-blend Resort Shirt,Beige/striped,https://image.hm.com/assets/hm/ae/27/ae276b1bc96aa5bddaff0b8cb6ffae66cf81bc7a.jpg,"a white and orange striped shirt, a shirt on a swinger, a close-up of a shirt, a close up of a shirt"
53,COOLMAX® Loose Fit T-shirt,White,https://image.hm.com/assets/hm/4a/d6/4ad6e1b8dfb62833f2c43d66958ebb5358b9fc0b.jpg,a white t-shirt on a white wall
54,Regular Fit Printed Resort Shirt,Navy blue/leaves,https://image.hm.com/assets/hm/6a/8f/6a8f3c136d84dba3529583593edeeb197e1872e2.jpg,"a black and white shirt, a close up of a shirt"
55,Regular Fit Crochet-look Resort Shirt,Black,https://image.hm.com/assets/hm/70/d6/70d68b229c2d196d1455f5c2011474dd7ec339ff.jpg,"a black shirt on a white background, a black shirt on a swinger, a close up of a black shirt, a close up of a black shirt"
56,Loafers,Beige,https://image.hm.com/assets/hm/d2/56/d2561d84626e3fdee6066f86bd57a08194d7f9aa.jpg,"a close up of a shoe, a close up of a shoe, a close up of a shoe, a close up of a shoe"
57,Slim Fit T-shirt,Black,https://image.hm.com/assets/hm/09/58/0958cc08f86b7127b5dd8e0d0091824a337b6588.jpg,"a black shirt on a white wall, a black shirt on a swinger, a black shirt on a white wall"
58,Regular Fit Linen-blend Resort Shirt,Light blue/white striped,https://image.hm.com/assets/hm/64/5d/645da6d33d00dff6c973409498e0165435c0f35e.jpg,"a close up of a pocket, a close up of a shirt"
59,Loose Fit Pointelle-knit Polo Shirt,Cream,https://image.hm.com/assets/hm/39/96/3996c4d2baf66d18037de77cb71ba544c58e7e74.jpg,"a white shirt on a white background, a white shirt on a swinger, a close up of a white sweater, a close up of a white sweater"
60,Straight Regular Jeans,Light denim blue,https://image.hm.com/assets/hm/11/f1/11f1da0f4ffb3bda9564e09473484288ffbe29c5.jpg,"a pair of blue jeans, a pair of blue jeans, a close up of a pair of jeans, a pair of blue jeans"
61,Regular Fit Fine-knit Polo Shirt,Black/striped,https://image.hm.com/assets/hm/88/e1/88e1ea0d8f847e2d8ffeee4f0b9b27effeb4f845.jpg,"a black and orange striped shirt, a black and orange striped shirt, a black and orange striped shirt"
62,Cargo Joggers,Beige,https://image.hm.com/assets/hm/17/8a/178a9b720681ef75eb8a2a95904283a3a5f8854c.jpg,"a tan pants with pockets, a pair of tan cargo pants, a white background with black and red lines, a white background with black and red lines, a pair of tan cargo pants, a close up of a pocket"
63,Regular Fit Crochet-look Resort Shirt,White,https://image.hm.com/assets/hm/78/3c/783cf1ed643a566a5c7ed99fecd2e0ce9be67b77.jpg,"a white shirt on a white background, a white shirt on a swinger"
64,Relaxed Fit Short-sleeved Shirt,Black,https://image.hm.com/assets/hm/4f/e1/4fe163b84c812659fe47b5177d8bca8551be4c39.jpg,"a black shirt on a white background, a black shirt on a swinger, a close up of a button, a close up of a black shirt"
65,Loose Fit Printed T-shirt,Light blue/skateboarder,https://image.hm.com/assets/hm/c3/6f/c36f9f0e06e13283800282bf93944810e85f2f72.jpg,"a white t-shirt with a picture on it, a white shirt with a picture on it"
66,Loose Cargo Denim Joggers,Light denim gray,https://image.hm.com/assets/hm/34/37/343705f290f6122e1640dae111147536b8cc6e13.jpg,close up of a pair of jeans
67,3-pack Slim Fit T-shirts,Black,https://image.hm.com/assets/hm/30/21/30217c66660ea1d25500a857632da9e63bf281de.jpg,a black shirt with white text on it
68,Regular Fit Tank Top,White,https://image.hm.com/assets/hm/8c/f7/8cf76ae921d1c4df8dace22cec55b006a9ebe044.jpg,"a white tank top on a white background, a white tank top on a white wall"
69,Slim Fit Cotton Twill Pants,Black,https://image.hm.com/assets/hm/cd/d7/cdd7aea4d00fc65196abef349fa469ee23b3d22b.jpg,"a pair of black pants, a pair of black pants, a close up of a pocket"
70,Sporty Loafers,Beige,https://image.hm.com/assets/hm/37/1d/371deb34cd01ab272713624101879d022ac1517d.jpg,"a close up of a shoe, a close up of a shoe, a tan loafer with white sole, a close up of a shoe, a close up of a shoe"
71,Relaxed Fit Linen Resort Shirt,Blue,https://image.hm.com/assets/hm/cb/b3/cbb3db55609900b529f06f47fc495c7126f53e6f.jpg,"a blue shirt on a white background, a blue shirt on a swinger, a button on a blue shirt, a close up of a blue shirt, a close up of a blue shirt, a close up of a blue shirt"
72,Muscle Fit Cotton Shirt,White,https://image.hm.com/assets/hm/c7/d4/c7d49cef60f9d196d2f5347815f416bba7d4b636.jpg,"a white shirt on a white background, a white shirt on a swinger, close-up of a button on a white shirt, a close up of a white shirt, a white shirt on a white surface"
73,Slim Fit Linen Shirt,White,https://image.hm.com/assets/hm/74/1f/741f6f3f0c79317b08b4c6bed65bb528065806ca.jpg,"a white shirt on a swinger, a white shirt on a swinger, a close-up of a button on a white shirt, a close-up of a button on a white shirt, a close-up of a white towel, a close up of a white shirt"
74,Regular Fit Linen-blend Resort Shirt,Green/striped,https://image.hm.com/assets/hm/08/94/08944cef53cc6baa34875da1413b89ec1ae7db89.jpg,"a close up of a shirt, a close up of a shirt"
75,3-pack Regular Fit Polo Shirts,Beige/sage green,https://image.hm.com/assets/hm/13/93/139360322c56e51ff0b03859cc037b994c507125.jpg,close-up of a white collared shirt
76,Muscle Fit Cotton Shirt,Light blue,https://image.hm.com/assets/hm/07/c9/07c92142371ad895b45feb04932ba1e89acd0cdb.jpg,"close-up of a button on a shirt, a close up of a shirt"
77,5-pack Slim Fit T-shirts,Khaki green,https://image.hm.com/assets/hm/d6/19/d619d9c9fef0794199cb0ba5c1bb581b0cee52e9.jpg,"a group of folded shirts, a group of folded shirts, a white shirt folded on a tan surface, a close-up of a green fabric, a white and green cloth, a close up of a red fabric, a group of folded shirts, a white shirt with text on it, a group of long sleeved shirts, a close up of a green fabric"
78,Swim Shorts,Black,https://image.hm.com/assets/hm/53/e6/53e6dbccb7a06a0d875217791b48d5a4c3c1def7.jpg,"a black shorts with a drawstring, a black shorts with a string, a black shorts with a string, a close up of a zipper, a close up of a black pants, a close up of a black shorts, a close up of a black shorts, a close up of a black swim shorts, a white background with black and red lines"
79,Regular Fit Chino Shorts,Light beige,https://image.hm.com/assets/hm/87/ff/87fff01d952a634356774231fc00acf363545cab.jpg,a pair of tan shorts
80,Slim Fit Shirt,Black,https://image.hm.com/assets/hm/ce/b4/ceb46f7bb3c8e3d1e6c8e2736a026802482d7645.jpg,"a black shirt on a white background, a black shirt on a swinger, a close up of a black shirt"
81,COOLMAX® Loose Fit T-shirt,Black,https://image.hm.com/assets/hm/83/94/8394fccd401abaf8f67610709a4d96a54bd6b6d4.jpg,"a black shirt on a white wall, a black shirt on a swinger, a close up of a black shirt"
82,Loose Fit Washed T-shirt,Beige,https://image.hm.com/assets/hm/ae/31/ae31f88faf61cac8dd5d320a366fd2b41b4a4387.jpg,a close up of a pocket
83,Regular Fit Pique T-shirt,Navy blue,https://image.hm.com/assets/hm/a7/8e/a78e6c30d69a661aa857bc40c133e107a34df905.jpg,"a black shirt on a white wall, a black shirt on a white wall, a close up of a black fabric, a close up of a sweater, a close up of a black shirt"
84,Loose Jeans,Denim black,https://image.hm.com/assets/hm/c4/a9/c4a9015a1104dde784b870add03b5231d1fec970.jpg,"a pair of black jeans, a pair of black jeans, a close up of a pocket, a pair of black jeans, a pair of black jeans"
85,Slim Fit Cotton Twill Shorts,Black,https://image.hm.com/assets/hm/c9/00/c90057f836803a662b9ca330dacdc40f32c0a361.jpg,"a pair of black shorts, a pair of black shorts, a close up of a pair of black jeans, a pair of black shorts"
86,Slim Fit Shirt,White,https://image.hm.com/assets/hm/74/88/748812fae326b62a0a574bdde35ecad7954985bb.jpg,"a white shirt on a swinger, a white shirt on a swinger, a close up of a white shirt, a close up of a button"
87,Loose Cargo Denim Joggers,Navy blue,https://image.hm.com/assets/hm/c8/91/c89106a7384aec97b173cdc867f9e77dc741ff87.jpg,a pair of blue jeans
88,Slim Fit Premium Cotton Shirt,White,https://image.hm.com/assets/hm/11/d5/11d541852878a2d16dd44c607f25686ad6eb9c54.jpg,"a white shirt on a swinger, a close up of a white shirt, close up of a white shirt, a close up of a button, a close-up of a white shirt, a close up of a white cloth"
89,Regular Fit Nylon Cargo Shorts,Navy blue,https://image.hm.com/assets/hm/e7/fa/e7fa1b1261a78ead0520afb8cb17935fd6a72db7.jpg,a close-up of a pocket
90,Regular Fit Pique T-shirt,Light beige,https://image.hm.com/assets/hm/05/1d/051db7393f84b63a9cf9f1af3a3ea7e3f3e99a06.jpg,"a white shirt on a swinger, close-up of a white sweater"
91,Loose Fit Cargo Jeans,Black,https://image.hm.com/assets/hm/09/ad/09adb21129d5351e00e9387a1abda2ffa5bd06aa.jpg,"a pair of black pants, a pair of black pants, a close up of a pocket"
92,Mule Loafers,Beige/zigzag-patterned,https://image.hm.com/assets/hm/0a/ec/0aec35ba48aa60faa54eb932e7a2e207028b2c4f.jpg,"a black and white slipper, a close up of a shoe, a close up of a shoe, close up of a zipper, a close-up of a black surface, a close up of a shoe, close up of a woven fabric"
93,Loose Fit Cargo Jeans,Denim blue,https://image.hm.com/assets/hm/fc/38/fc382304cef5c2a33a9a5a1b3c8cfc2e2c056f8b.jpg,a pair of pants on a wall
94,Loose Jeans,Light denim blue,https://image.hm.com/assets/hm/2c/77/2c77a9ff7cf1bc0cd4f2c2c94c23cff06ea3d555.jpg,"a pair of blue jeans, a pair of blue jeans, a close up of a pair of blue jeans, a close up of a pocket, a close up of a pair of jeans, a pair of blue jeans, a close-up of a pocket"
95,Sandals,Black,https://image.hm.com/assets/hm/c5/26/c526f932a2feea4b545f0413985d6b539c8b7f3d.jpg,"a pair of black sandals, a pair of black sandals, a close up of a black belt"
96,Loose Jeans,Dark denim blue,https://image.hm.com/assets/hm/31/6e/316ef8d3747079da7e2bd1b75f3e5825142f8c5d.jpg,"a pair of jeans on a wall, a close up of a pocket"
97,Regular Fit Ripstop Cargo Pants,Black,https://image.hm.com/assets/hm/18/74/18746823ff2249afa0ce6f04c78d7512593d2cca.jpg,a pair of black pants
98,Regular Fit Textured-weave Resort Shirt,Cream,https://image.hm.com/assets/hm/d8/5e/d85e59d2ddaafa4cacb9be68c0e45263666f6ffb.jpg,a close up of a shirt
99,Espadrilles,Gray,https://image.hm.com/assets/hm/e8/02/e8028d4d5f0967f6d6299aa3a621e3b04b4daf42.jpg,a close up of a shoe
100,Pool Shoes,Beige,https://image.hm.com/assets/hm/ec/b7/ecb785ef7215e8302e3d62a30feb7bcdee5bbfca.jpg,a close up of a shoe
101,Loose Fit Jersey Shorts,Black,https://image.hm.com/assets/hm/1e/8e/1e8ea9f57674b30a809dde5f10177d6ee596b9ec.jpg,"a black shorts on a white background, a black shorts on a white background, a black shorts on a white background"
102,Loose Jeans,Black,https://image.hm.com/assets/hm/d5/32/d5326eb2e11c690b755c34b6a4639854ffa0256f.jpg,"a pair of black jeans, a pair of black pants, a close up of a pocket"
103,Slim Fit Cotton Shirt,Black,https://image.hm.com/assets/hm/4e/08/4e082157e010d31b6fd37c07186d7884c40999aa.jpg,a black shirt on a swinger
104,Regular Fit Linen-blend Pants,Black,https://image.hm.com/assets/hm/a0/79/a07982b44457b8db98ece865ca16ceeef5c288e4.jpg,"a black pants on a white wall, a black pants on a wall, a close up of a button"
105,Regular Fit Linen-blend Shirt,Turquoise,https://image.hm.com/assets/hm/e7/b3/e7b31aff1944367889bd047a12c4f8e6147b7a54.jpg,"a close up of a shirt, a shirt on a swinger, a close up of a shirt, a pocket on a shirt"
106,Regular Fit Linen Shorts,Dark beige,https://image.hm.com/assets/hm/65/59/6559949f8eeae386530b24825d08d8a666efd524.jpg,"a brown shorts on a white background, a brown shorts on a white background, a brown shorts on a white background, a close up of a pair of pants"
107,Regular Fit Linen-blend Shirt,Dark blue,https://image.hm.com/assets/hm/19/d8/19d8f8f79047a467a1d36e7892aaa41d6122e5c5.jpg,"a blue shirt on a swinger, a close up of a blue shirt, a close-up of a button on a blue shirt"
108,Regular Fit Dressy Joggers,White,https://image.hm.com/assets/hm/be/50/be508fc7dcbe77574950cc4bd4396bee93000ca1.jpg,a close up of a button
109,Linen Cap,Cream,https://image.hm.com/assets/hm/7a/de/7adee6f92ef13a2c1cc8bb221439b0cdbb4ba5b1.jpg,"a white baseball cap, a tan baseball cap, a white baseball cap, a close up of a cap, a close up of a fabric"
110,Regular Fit Pleat-detail Shorts,Black,https://image.hm.com/assets/hm/52/38/5238c89e756935d8b7318c55729fd19350d00dd8.jpg,"a close up of a pair of black pants, a close up of a black skirt"
111,Regular Fit Linen-blend Shirt,White/striped,https://image.hm.com/assets/hm/74/21/74212aa1d075066141c492e1252a1b893c6408d7.jpg,"close-up of a button on a white shirt, close-up of a white shirt"
112,Slim Fit Cotton Pants,Black,https://image.hm.com/assets/hm/c8/02/c802d9e70ac24cdf7242f0bd4dd7cadad4a984f5.jpg,"a black pants on a white wall, a black pants on a wall, a white background with black and white clouds"
113,Sneakers,Light beige,https://image.hm.com/assets/hm/1e/43/1e43c5a94465e43c1566321ed5dd87266ae09bde.jpg,"a close up of a shoe, a close up of a shoe, a close up of a shoe, a close up of a shoe"
114,3-pack Necklaces,Silver-colored,https://image.hm.com/assets/hm/e5/d9/e5d9c2e2f0ea7fe9d0f87f3dc551dbb4ba2954c9.jpg,a silver chain necklace on a white background
115,Regular Fit Textured-knit Resort Shirt,Black,https://image.hm.com/assets/hm/5f/23/5f236190edc773b1a8dc36301c12a29805674316.jpg,"a black shirt on a white background, a black shirt on a white background, a close-up of a black shirt, a close up of a black sweater, a close up of a black shirt"
116,Regular Fit Chino Shorts,Beige,https://image.hm.com/assets/hm/dc/ca/dcca1716d69eca6142747067ce1f500d644760b0.jpg,"a pair of tan shorts, a pair of tan shorts, a pair of tan shorts, a close up of a pair of pants, a close up of a white fabric, a close up of a pocket, a close up of a pair of pants, a white background with black and white clouds, a close up of a pocket"
117,Leather Slides,Black,https://image.hm.com/assets/hm/f1/0b/f10b5ae810c9df8ac21f15f57d5c19c3744c338a.jpg,a close up of a black sandal
118,Regular Fit Linen Pants,Dark sage green,https://image.hm.com/assets/hm/4a/f0/4af0d471d10fd46a832fb9ef81f523074161430f.jpg,"a grey pants on a white wall, a pair of pants on a wall, a close-up of a grey fabric, a close up of a pair of pants, a pair of grey pants, a close up of a grey fabric, a white background with black and white clouds"
119,Regular Fit Chino Shorts,Black,https://image.hm.com/assets/hm/c7/0b/c70baf9abeaab56f721d659ec559411578fb5789.jpg,"a black shorts on a white background, a close up of a black pants, a close-up of a black button, a close up of a black pants"
120,Regular Fit Shorts,Navy blue,https://image.hm.com/assets/hm/55/c1/55c1f2ccae5d9980f8406ff16465332babe7a287.jpg,"a black shorts on a white background, a black shorts on a white background, a close up of a pair of pants"
121,Slim Fit Polo Shirt,Black,https://image.hm.com/assets/hm/9d/4a/9d4a7f8e1c8b43998a6ed7f1714923466d8da4a7.jpg,"a black shirt on a white background, a black shirt on a swinger, a close up of a black fabric, a close-up of a black shirt"
122,Sunglasses,Dark brown,https://image.hm.com/assets/hm/98/a0/98a0c3881a0a406d5d4951b8cdcd66f9a051dd6d.jpg,"a close up of a pair of sunglasses, a close up of a pair of sunglasses"
123,Regular Fit Linen Shirt,Light beige,https://image.hm.com/assets/hm/f6/60/f6601815f8b3f32d84721a7012078988758f1f9a.jpg,"a close up of a shirt, a close up of a fabric"
124,Regular Fit Printed Resort Shirt,White/leaves,https://image.hm.com/assets/hm/ab/a3/aba34351fd0c144b2bedad5345cbf2294fa1c3b9.jpg,"a close up of a shirt, a close up of a shirt"
125,Regular Fit Printed Resort Shirt,Light beige/striped,https://image.hm.com/assets/hm/b2/7f/b27f34b42ff067078399f8424855f18300703c3c.jpg,"a close up of a shirt, a close up of a shirt, a close up of a shirt, a close up of a shirt, a close-up of a shirt"
126,Regular Fit Chino Shorts,Light gray-beige,https://image.hm.com/assets/hm/b1/a1/b1a10268794db3aa9e8f83e5622ca493f5a70a54.jpg,"a pair of white shorts, a pair of white shorts, a pair of white shorts, a close up of a pair of white pants"
127,Regular Fit Oxford Shirt,Khaki green,https://image.hm.com/assets/hm/e0/91/e091d36cead2efe5cf4b3fd8bf96252e56ab79af.jpg,"a long sleeved shirt on a swinger, a close up of a pocket"
128,Regular Denim Shorts,Denim blue,https://image.hm.com/assets/hm/c7/35/c73511628400a0aaa54b534c5cb3f4406cb24c1f.jpg,"a pair of blue jean shorts, a pair of blue jean shorts, a pair of blue jean shorts, close up of a pair of blue jeans"
